PURPLE PATCH FARMS (I) PVT LTD B.MANIHATTY,,,,
COST ANALYSIS-APRIL TO NOVEMBER-2025,,,,
TOTAL QTY SOLD,144862,,,,
,,,,,
EXPENSES,,,,,
SL.NO,PARTICULARS,TOTAL,APPORTIONMENT,KG,COP
1,FIXED COST CAT - I,,,,,
,ACCOUNTING CHARGES(AUDIT FEE),9000,,,
,CDSL DEMAT CHARGES,46320,,,
,COMPANY SECRETARY & MCA FILLING FEES,31500,,,
,COMPLIANCE CONSULTANCY CHARGES,,,,
,DEMAT OF SHARES CHARGES,25000,,,
,EMPLOYEE REFRESHMENT,,,,
,FSSAI FEE,,,,
,INTEREST ON MP CHERIAN LOAN,,,,
,INTEREST ON FEROKE BOARDS,,,,
,INTEREST ON LATE PAYMENT TDS,2246,,,
,INTEREST ON MA ASRAF LOAN,,,,
,INTERNAL AUDIT FEE,,,,
,LAND DOCUMENTS CHARGES,,,,
,LEGAL CHARGES,15000,,,
,MISCELLANEOUS EXP,,,,
,PACKING ROOM RENT,97500,,,
,PROVISION FOR DOUBTFUL DEBTS,,,,
,RATE & TAXES,5930,,,
,RTA FEE,10620,,,
,SOFTWARE DEVELOPMENT & MAINTENANCE,68284,,,
,SOIL TEST & LEAF ANALYSIS,,,,
,TDS SERVICE CHARGES,2050,,,
,TRADE MARK CONSULTANCY FEE/OTHERS,,,,
,VEHICLE ACCIDENT,79900,,,
,393350,100%,144862,2.72
,FIXED COST CAT -II,,,,,
,ELECTRICITY CHARGES,253035,,,
,RUNNING & MAINTENANCE OTHERS,540187.35,,,
,STAFF BASIC SALARY,517598,,,
,STAFF HOUSE RENT,66000,,,
,STAFF OTHER ALLOWANCE,613461,,,
,STAFF PHONE ALLOWANCE,9500,,,
,STAFF SALARY & INCENTIVES,784650,,,
,TOOLS & IMPLEMENTS,30733,,,
,2815164,,,,
,,STRAWBERRY -60 %,19079,88.5
,,GREENS -25 %,12841,54.8
,,AGGREGATION - 15 %,112823,3.7
2,VARIABLE COST,,,,,
A),OPEN FIELD :,,,,,
,LEASE LAND,65000,,,
,SPRAYING MANURING,1533.39,,,
,FUELS,10367.85,,,
,WORKERS WAGES,255700,,,
,WORKERS OVERTIME,10900,,,
,CULTIVATION OTHERS,,,,
,TILLING & PLOUGHING,,,,
,SEEDS PURCHASE/OTHERS,1250,,,
,COWDUNG MANURE,,,,
,344751,,110,3134.1
B),LETTUCE:,,,,,
,SPRAYING MANURING,218313.77,,,
,FUELS,,,,
,WORKERS WAGES,311050,,,
,WORKERS OVERTIME,23850,,,
,SEEDLINGS PURCHASE,11500,,,
